,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16,2021-05-17,2021-05-18,2021-05-19,2021-05-20,2021-05-21,2021-05-22,2021-05-23,2021-05-24,2021-05-25,2021-05-26,2021-05-27,2021-05-28,2021-05-29,2021-05-30,2021-05-31,2021-06-01,2021-06-02,2021-06-03,2021-06-04,2021-06-05,2021-06-06,2021-06-07,2021-06-08,2021-06-09,2021-06-10,2021-06-11,2021-06-12,2021-06-13,2021-06-14,2021-06-15,2021-06-16,2021-06-17,2021-06-18,2021-06-19,2021-06-20,2021-06-21,2021-06-22,2021-06-23,2021-06-24,2021-06-25,2021-06-26,2021-06-27,2021-06-28,2021-06-29,2021-06-30,2021-07-01,2021-07-02,2021-07-03,2021-07-04,2021-07-05,2021-07-06,2021-07-07,2021-07-08,2021-07-09,2021-07-10,2021-07-11,2021-07-12,2021-07-13,2021-07-14,2021-07-15,2021-07-16,2021-07-17,2021-07-18,2021-07-19,2021-07-20,2021-07-21,2021-07-22,2021-07-23,2021-07-24,2021-07-25,2021-07-26,2021-07-27,2021-07-28,2021-07-29,2021-07-30,2021-07-31,2021-08-01,2021-08-02,2021-08-03,2021-08-04,2021-08-05,2021-08-06,2021-08-07,2021-08-08,2021-08-09,2021-08-10,2021-08-11,2021-08-12,2021-08-13,2021-08-14,2021-08-15,2021-08-16,2021-08-17,2021-08-18,2021-08-19,2021-08-20,2021-08-21,2021-08-22,2021-08-23,2021-08-24,2021-08-25,2021-08-26,2021-08-27,2021-08-28,2021-08-29,2021-08-31,2021-09-01,2021-09-02,2021-09-03,2021-09-04,2021-09-05,2021-09-06,2021-09-07,2021-09-09,2021-09-10,2021-09-11,2021-09-12,2021-09-13,2021-09-15,2021-09-16,2021-09-17,2021-09-18,2021-09-20
Puchuncaví,1,2,1,0,2,1,5,1,0,2,1,1,3,1,0,2,1,4,2,6,2,0,0,1,0,0,0,0,1,4,0,3,0,2,2,1,1,5,10,3,7,2,3,11,12,4,7,9,6,4,1,5,6,23,7,11,4,4,9,8,5,9,13,3,2,3,6,15,9,11,7,4,9,1,1,3,16,6,2,1,6,6,5,1,9,2,0,7,3,2,3,3,0,2,4,4,1,10,1,6,0,10,2,0,11,11,5,2,3,4,8,4,4,10,1,9,12,7,10,13,2,8,16,4,5,10,12,3,6,10,6,5,7,5,13,7,3,5,5,15,8,2,3,7,5,12,7,3,3,0,4,1,4,3,2,2,0,5,4,7,4,3,3,0,3,1,3,1,0,0,1,0,0,0,2,1,0,0,0,1,0,1,1,0,1,3,2,2,0,0,0,1,1,2,2,1,0,1,0,2,1,1,0,1,0,4,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0
Putaendo,0,0,2,0,1,0,0,0,1,0,0,0,0,2,0,0,1,2,1,1,1,0,0,2,2,1,1,0,1,1,0,3,2,0,1,2,2,1,5,0,3,2,2,4,2,6,4,5,1,0,5,1,4,3,6,4,9,4,1,2,3,8,2,13,4,1,6,10,1,4,7,1,2,9,2,10,3,1,11,5,7,7,1,0,5,4,9,6,3,4,6,0,5,3,1,6,1,2,2,3,0,1,2,3,1,0,4,3,3,0,1,5,4,3,4,3,3,11,3,4,9,2,1,4,15,7,3,5,5,7,5,1,8,12,1,12,10,3,4,4,5,1,3,4,7,4,14,4,1,2,2,3,8,3,7,4,2,4,1,0,0,2,1,1,6,7,4,0,0,1,1,0,1,1,0,0,1,1,2,1,4,0,0,0,0,2,2,0,0,1,0,1,3,3,2,0,3,1,1,0,1,1,0,1,1,1,1,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Quillota,6,7,5,13,6,7,9,5,6,5,4,6,4,9,9,5,7,10,7,7,5,7,6,2,17,25,16,20,8,8,11,29,16,28,21,28,12,21,35,23,33,22,31,25,28,47,38,30,30,33,12,25,30,44,31,35,23,22,26,60,43,41,38,16,19,29,49,57,42,48,21,18,32,36,24,27,28,34,19,52,52,39,19,32,30,6,13,18,19,20,18,27,10,11,28,20,28,16,19,7,14,34,25,22,23,12,7,8,36,16,28,22,10,12,13,36,25,19,29,15,12,21,34,28,29,36,14,21,13,36,34,15,30,13,12,17,19,33,21,29,14,19,11,29,26,17,23,8,10,12,12,20,5,9,5,15,3,16,7,5,7,10,7,3,16,12,6,1,4,5,4,13,7,3,10,3,2,4,5,4,4,5,2,8,1,8,6,4,3,3,0,2,3,4,6,4,5,1,1,4,1,2,4,6,5,2,2,3,0,3,4,1,0,2,0,2,1,2,3,1,3,0,1,1,1,1,1,0
Quilpué,16,0,6,15,8,44,11,3,6,7,22,18,17,11,5,10,8,21,16,25,15,10,21,8,38,13,40,26,22,10,19,35,23,25,14,13,25,11,45,30,24,47,26,10,38,45,26,45,54,33,11,38,62,29,66,60,37,21,45,77,74,28,54,17,26,23,64,62,52,26,47,12,31,59,44,56,40,31,15,19,57,25,42,37,33,15,23,45,35,21,20,28,18,22,34,23,22,17,20,18,13,19,22,22,23,14,11,16,26,24,21,18,33,12,17,37,42,20,38,17,8,24,39,33,27,50,29,23,24,39,41,19,43,23,24,24,44,35,59,24,23,16,17,20,32,37,25,15,13,10,15,23,21,15,12,13,9,16,18,17,7,9,5,8,12,6,8,3,3,4,4,22,9,7,4,10,1,3,5,7,5,3,1,6,0,2,5,1,7,1,1,3,6,5,11,20,6,1,2,9,3,8,4,4,2,1,4,3,1,2,0,2,1,4,0,1,1,2,2,2,0,1,1,5,1,2,0,0
Quintero,2,2,4,2,4,1,2,0,2,1,7,0,5,10,2,10,4,8,13,2,8,1,2,0,11,8,6,4,6,3,3,7,4,9,5,0,4,8,4,13,10,5,4,2,15,9,7,5,3,8,6,7,6,6,7,9,11,6,14,12,7,16,25,7,9,9,14,26,10,9,13,18,6,10,4,20,11,16,11,9,13,12,19,12,4,13,8,13,18,16,10,12,5,3,10,18,10,5,4,6,4,8,10,10,18,11,7,11,15,10,9,16,5,8,6,15,13,10,7,12,5,8,17,5,8,10,11,17,6,10,24,7,12,3,4,1,8,7,9,9,2,4,2,6,5,1,12,7,6,3,2,6,2,4,7,0,3,3,7,3,7,1,0,3,6,3,2,6,1,1,5,5,7,0,1,3,1,2,2,2,0,1,3,2,3,4,4,3,2,2,1,0,3,1,1,1,0,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,0
Rinconada,0,0,0,0,3,1,1,1,1,3,1,0,3,1,1,0,0,1,0,0,2,0,1,3,3,1,1,1,2,0,3,0,2,0,1,1,0,0,2,0,0,2,2,1,2,0,2,0,0,3,1,1,1,1,0,0,0,3,0,0,0,1,2,2,3,1,1,1,1,3,1,0,1,3,0,10,1,4,1,1,2,1,2,4,4,1,0,6,2,7,0,1,4,0,0,2,0,1,0,1,0,2,3,1,5,10,0,1,3,2,8,2,7,1,0,1,2,4,5,4,6,2,6,6,10,2,7,5,7,2,9,5,7,0,2,1,8,6,0,8,8,3,1,1,3,2,8,0,3,1,2,1,7,3,1,1,0,1,1,2,0,0,0,1,3,0,0,1,0,2,0,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
San Antonio,4,15,2,18,12,12,2,20,7,23,8,24,3,24,22,26,9,10,14,67,16,49,35,38,28,29,18,41,28,7,53,15,46,6,63,10,55,9,13,45,45,9,40,6,49,15,27,21,23,15,15,10,21,17,35,18,20,34,24,9,28,16,33,11,28,16,28,36,34,35,29,10,16,21,7,37,19,9,9,1,22,23,25,19,13,19,16,13,19,19,27,22,11,30,22,35,24,26,9,21,29,24,14,41,19,19,16,15,44,31,33,56,30,22,30,45,42,61,27,40,18,60,47,30,29,51,76,55,35,35,35,40,20,19,25,34,50,35,26,42,33,81,10,12,20,65,12,48,35,36,13,15,40,6,10,45,6,27,27,20,16,29,11,5,6,24,8,11,0,7,3,4,9,8,11,11,13,6,11,7,2,14,4,2,6,9,6,8,0,5,7,5,2,10,1,2,1,2,1,0,1,1,5,1,4,2,2,3,12,6,2,5,1,2,2,3,1,0,2,2,5,5,4,1,0,2,4,1
San Esteban,3,0,0,0,4,1,2,1,0,0,2,8,2,3,0,2,0,3,0,5,3,1,0,2,0,1,2,3,1,1,0,5,3,5,1,1,1,0,5,1,2,2,2,0,0,7,2,0,0,2,2,2,6,5,7,10,7,1,0,8,2,6,4,3,6,4,5,10,12,4,2,2,2,6,4,7,1,0,8,1,3,2,3,1,1,1,1,2,6,3,6,3,0,1,1,3,2,3,1,1,0,0,10,5,2,3,0,7,6,14,4,7,2,1,11,9,8,9,11,6,5,3,7,9,12,5,11,17,6,8,11,9,13,8,7,7,5,10,4,3,8,7,1,12,9,10,5,6,4,7,2,3,9,5,1,0,2,3,1,2,2,2,0,2,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,2,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0
San Felipe,8,1,4,9,6,6,4,9,6,3,8,2,1,6,3,1,4,4,6,8,11,10,0,8,15,16,9,23,9,6,6,5,12,19,17,15,13,3,8,1,13,10,6,10,6,12,15,14,6,11,6,7,8,15,22,18,26,9,2,20,29,31,23,30,7,14,34,41,28,34,27,19,17,25,28,23,17,24,21,5,12,36,37,39,11,8,13,31,19,15,17,15,4,9,15,15,24,38,10,7,7,36,30,29,12,17,16,25,24,33,17,22,24,20,22,47,33,25,27,24,34,22,36,35,35,20,17,29,32,61,27,30,39,39,31,40,38,44,8,32,27,13,10,14,31,24,37,10,9,3,12,17,16,24,18,3,11,22,10,16,9,4,5,5,5,12,8,3,0,3,7,7,9,5,7,1,6,1,4,1,4,3,4,0,1,8,3,6,2,7,1,1,7,6,2,7,5,6,7,5,3,3,5,2,0,4,4,3,6,3,5,1,4,4,1,3,0,1,0,2,1,0,0,1,0,0,0,0
Santa Maria,2,1,0,4,1,1,1,0,1,0,2,4,2,2,5,1,0,3,4,0,1,0,1,2,4,2,0,0,2,0,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,3,1,4,3,7,2,0,6,0,1,6,4,5,2,9,4,3,8,0,2,3,7,6,4,4,7,1,7,2,7,1,2,7,1,6,3,0,5,2,2,3,2,6,8,3,0,2,3,5,6,6,7,9,4,2,4,12,9,8,12,2,4,4,7,11,6,2,3,1,14,7,6,9,9,5,3,6,2,3,6,4,7,8,6,12,4,6,2,8,9,6,5,15,0,8,9,11,5,5,4,5,4,5,12,4,1,6,3,5,2,2,1,3,0,5,1,2,0,2,1,5,3,1,0,2,2,6,0,0,3,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,5,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santo Domingo,0,0,0,1,0,1,0,0,0,0,2,0,2,0,2,6,1,2,2,3,0,2,1,2,5,2,0,3,4,3,7,0,4,3,5,2,4,1,2,4,2,0,4,2,3,5,3,3,2,1,0,1,4,0,7,2,8,3,2,2,2,0,3,1,4,4,2,7,1,3,8,4,3,4,5,5,2,2,0,1,1,0,2,2,0,3,2,0,5,2,0,1,0,0,1,1,1,0,0,2,0,5,1,2,0,3,2,2,4,2,0,2,0,6,1,3,5,7,1,2,0,2,2,5,2,11,8,3,0,0,5,1,6,3,8,1,0,5,0,0,7,4,3,0,2,2,1,6,5,1,0,2,1,2,3,1,0,3,3,0,2,5,2,1,7,2,9,6,0,7,2,5,2,1,0,2,0,0,0,8,0,1,0,0,3,2,0,5,5,1,1,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
Valparaíso,32,11,37,42,51,35,43,29,28,28,48,27,29,37,16,23,40,45,50,49,46,21,27,44,69,75,55,44,52,43,32,76,61,89,74,63,42,78,101,110,121,87,94,48,117,151,114,154,138,115,58,150,200,172,179,155,115,73,108,166,138,144,80,90,101,113,161,94,126,163,82,98,121,137,119,122,126,88,77,93,107,106,73,106,67,61,92,98,73,82,82,31,41,43,87,60,94,76,45,41,59,62,68,70,66,32,36,68,65,60,66,44,47,40,59,63,87,63,74,40,34,58,88,70,93,71,45,58,65,74,72,75,79,54,62,40,79,72,64,69,40,30,50,42,67,45,46,39,28,29,43,54,67,70,44,41,30,42,38,45,39,31,22,13,20,22,19,14,14,6,10,23,21,16,13,15,17,8,19,13,10,9,7,5,3,13,8,6,6,6,6,2,13,10,9,10,8,4,10,10,7,2,2,4,7,2,3,9,5,3,6,1,1,1,5,2,3,0,2,1,1,3,0,2,4,3,2,1
Villa Alemana,18,0,9,22,13,10,15,21,3,11,7,12,13,21,6,5,9,7,22,7,7,3,9,20,24,22,19,23,17,18,13,19,25,21,18,11,9,22,39,34,25,34,25,11,25,43,34,27,40,44,12,29,28,47,37,31,6,16,64,62,69,39,25,11,12,47,69,55,42,37,17,12,70,34,33,27,40,9,9,50,52,37,45,39,32,11,28,27,24,32,18,14,12,18,33,21,21,15,16,6,16,19,31,23,37,7,6,17,24,30,16,8,22,9,23,34,34,24,20,24,4,33,30,35,26,25,8,28,30,38,31,11,48,26,10,29,26,26,27,24,29,9,8,36,44,25,16,28,7,13,14,31,21,14,16,5,16,12,24,16,13,7,11,8,12,4,17,2,8,1,3,7,2,4,9,5,5,5,6,10,5,2,2,0,3,5,8,6,4,2,1,1,0,4,4,9,1,1,1,3,4,2,1,3,2,6,3,1,1,0,0,2,3,1,3,1,0,0,1,2,2,2,0,0,1,1,1,0
Viña del Mar,63,24,28,51,44,40,42,49,18,36,39,42,53,43,46,14,40,46,63,51,41,52,14,32,59,44,61,51,58,36,33,45,60,76,63,81,28,47,67,76,76,72,95,31,100,97,84,107,117,80,84,107,135,116,88,139,119,77,89,144,132,113,104,113,63,59,150,162,120,138,103,119,63,105,124,135,94,91,67,62,77,117,141,113,117,61,85,102,105,88,85,88,8,79,97,81,77,99,55,48,45,81,81,58,53,68,13,38,93,78,67,61,28,35,32,56,57,82,73,53,37,57,72,55,99,67,50,42,58,84,77,76,70,40,29,55,64,53,59,53,27,33,10,66,64,57,56,32,8,40,36,62,47,37,36,23,22,55,25,30,25,23,24,14,25,20,21,7,6,13,8,21,21,17,10,5,7,9,11,14,18,12,14,3,6,16,11,15,7,19,1,8,7,8,17,15,7,3,4,6,4,8,7,4,6,5,2,5,10,2,1,3,8,0,1,3,2,2,3,1,2,1,3,3,1,4,1,1
Zapallar,1,0,0,0,2,0,2,0,0,0,1,0,1,0,0,1,0,6,1,0,2,3,0,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,3,1,2,2,0,0,1,4,3,0,0,1,0,0,4,1,3,3,1,0,0,0,10,5,5,0,0,1,4,2,1,3,3,1,0,1,5,2,0,4,0,1,1,4,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,4,1,4,0,1,0,2,0,11,1,2,3,4,3,0,8,1,5,3,0,1,2,0,1,3,1,1,0,2,4,3,2,0,1,5,2,4,2,0,1,0,0,0,5,1,1,2,0,0,1,1,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
